"yr","mon","Tavg"
1981,1,5.19032258064516
1981,2,4.83607142857143
1981,3,7.8991935483871
1981,4,7.88466666666667
1981,5,9.53467741935484
1981,6,17.1808333333333
1981,7,18.0993548387097
1981,8,19.2412903225806
1981,9,15.5733333333333
1981,10,10.9632258064516
1981,11,10.3981666666667
1981,12,6.35532258064516
1982,1,6.74564516129032
1982,2,6.17642857142857
1982,3,7.38354838709677
1982,4,10.5428333333333
1982,5,11.5445161290323
1982,6,14.2756666666667
1982,7,16.6282258064516
1982,8,18.2325806451613
1982,9,16.4426666666667
1982,10,10.483064516129
1982,11,7.39733333333333
1982,12,4.87112903225806
1983,1,4.93838709677419
1983,2,3.96857142857143
1983,3,8.86548387096774
1983,4,6.7355
1983,5,8.33129032258065
1983,6,16.5091666666667
1983,7,16.7591935483871
1983,8,16.6548387096774
1983,9,16.9353333333333
1983,10,12.3227419354839
1983,11,10.2255
1983,12,6.45193548387097
1984,1,4.4858064516129
1984,2,4.59327586206897
1984,3,5.13225806451613
1984,4,12.0833333333333
1984,5,7.61064516129032
1984,6,15.4035
1984,7,17.3745161290323
1984,8,17.1770967741935
1984,9,15.0216666666667
1984,10,11.8322580645161
1984,11,7.54633333333333
1984,12,5.59903225806452
1985,1,2.76854838709677
1985,2,6.72339285714286
1985,3,5.67
1985,4,9.41683333333333
1985,5,10.1116129032258
1985,6,14.6291666666667
1985,7,18.2717741935484
1985,8,16.4588709677419
1985,9,19.269
1985,10,13.471935483871
1985,11,6.46633333333333
1985,12,5.84209677419355
1986,1,3.87758064516129
1986,2,4.29517857142857
1986,3,6.42467741935484
1986,4,5.17316666666667
1986,5,11.8990322580645
1986,6,14.7445
1986,7,19.1046774193548
1986,8,15.6167741935484
1986,9,15.9525
1986,10,13.1475806451613
1986,11,7.52233333333333
1986,12,5.24854838709677
1987,1,4.48048387096774
1987,2,5.32696428571429
1987,3,8.13274193548387
1987,4,9.6495
1987,5,12.2308064516129
1987,6,14.8988333333333
1987,7,18.5683870967742
1987,8,19.208064516129
1987,9,18.5566666666667
1987,10,9.29887096774194
1987,11,7.75733333333333
1987,12,7.14032258064516
1988,1,5.61548387096774
1988,2,5.35862068965517
1988,3,7.19983870967742
1988,4,8.0255
1988,5,10.5696774193548
1988,6,14.4028333333333
1988,7,16.1493548387097
1988,8,17.2790322580645
1988,9,16.882
1988,10,11.9912903225806
1988,11,9.17533333333333
1988,12,4.78548387096774
1989,1,4.29758064516129
1989,2,6.47964285714286
1989,3,8.41596774193548
1989,4,6.53983333333333
1989,5,14.4116129032258
1989,6,15.9883333333333
1989,7,20.8858064516129
1989,8,18.7393548387097
1989,9,15.4091666666667
1989,10,13.8967741935484
1989,11,8.21933333333333
1989,12,8.15258064516129
1990,1,3.90806451612903
1990,2,8.08553571428572
1990,3,9.01967741935484
1990,4,7.648
1990,5,13.9309677419355
1990,6,14.9313333333333
1990,7,20.1590322580645
1990,8,19.6403225806452
1990,9,17.1321666666667
1990,10,10.9051612903226
1990,11,6.6635
1990,12,3.73677419354839
1991,1,4.10387096774194
1991,2,3.65892857142857
1991,3,6.985
1991,4,8.20783333333333
1991,5,12.9153225806452
1991,6,15.049
1991,7,18.3433870967742
1991,8,19.8922580645161
1991,9,16.3763333333333
1991,10,9.41725806451613
1991,11,7.0855
1991,12,5.60435483870968
1992,1,2.8758064516129
1992,2,6.00034482758621
1992,3,8.01435483870968
1992,4,9.21666666666667
1992,5,13.4248387096774
1992,6,12.6143333333333
1992,7,18.4325806451613
1992,8,17.1372580645161
1992,9,14.0696666666667
1992,10,9.14209677419355
1992,11,9.17716666666667
1992,12,5.32677419354839
1993,1,5.33370967741936
1993,2,5.77589285714286
1993,3,7.2908064516129
1993,4,7.36983333333333
1993,5,10.0401612903226
1993,6,15.5153333333333
1993,7,17.6943548387097
1993,8,17.8924193548387
1993,9,12.4661666666667
1993,10,8.545
1993,11,6.34966666666667
1993,12,6.25112903225806
1994,1,4.95177419354839
1994,2,4.57732142857143
1994,3,9.88967741935484
1994,4,7.9815
1994,5,10.5551612903226
1994,6,16.1498333333333
1994,7,18.2172580645161
1994,8,17.5274193548387
1994,9,12.9993333333333
1994,10,11.8988709677419
1994,11,8.98216666666667
1994,12,6.71838709677419
1995,1,5.51016129032258
1995,2,6.49571428571429
1995,3,8.26048387096774
1995,4,10.902
1995,5,13.1141935483871
1995,6,16.1845
1995,7,18.1922580645161
1995,8,19.3232258064516
1995,9,13.5843333333333
1995,10,13.9687096774194
1995,11,9.14616666666667
1995,12,6.67451612903226
1996,1,5.675
1996,2,4.16862068965517
1996,3,7.09241935483871
1996,4,10.0716666666667
1996,5,11.1611290322581
1996,6,18.0681666666667
1996,7,19.2438709677419
1996,8,17.2814516129032
1996,9,14.3221666666667
1996,10,11.8070967741935
1996,11,7.32183333333333
1996,12,5.50935483870968
1997,1,4.6608064516129
1997,2,7.70660714285714
1997,3,12.4677419354839
1997,4,12.9616666666667
1997,5,12.0308064516129
1997,6,13.0185
1997,7,18.1337096774194
1997,8,18.2467741935484
1997,9,17.4911666666667
1997,10,14.0198387096774
1997,11,8.53116666666667
1997,12,6.00774193548387
1998,1,6.3658064516129
1998,2,8.5225
1998,3,10.198064516129
1998,4,6.95916666666667
1998,5,12.3467741935484
1998,6,15.3316666666667
1998,7,18.2691935483871
1998,8,21.0691935483871
1998,9,15.3576666666667
1998,10,11.5540322580645
1998,11,8.12883333333333
1998,12,4.86516129032258
1999,1,5.70064516129032
1999,2,5.13446428571429
1999,3,7.43774193548387
1999,4,9.58216666666667
1999,5,12.711935483871
1999,6,15.7663333333333
1999,7,19.3035483870968
1999,8,17.2927419354839
1999,9,14.6725
1999,10,11.0953225806452
1999,11,6.21766666666667
1999,12,5.32838709677419
2000,1,2.94322580645161
2000,2,7.9701724137931
2000,3,9.0891935483871
2000,4,6.73583333333333
